place_id,name,description,reviews,rating,website,phone,owner_name,featured_image,main_category,,address,state,
ChIJd7IkKDDHYEYRLvoanxt__s0,Lekpark,,0,0,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y9ERVEf7F33M4uyASoL2gA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.729034&pitch=0&thumbfov=100,Lekplats,Open All Days,Drabantvagen 9,Gavle,
ChIJR761AD4TW0YRGCWIZqgyWPQ,Lekpark,,0,0,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wFNGGjRvIdha5fOClDYokg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.40515&pitch=0&thumbfov=100,Lekplats,Open All Days,Domangatan 29,Mariestad,
ChIJGWOpEbVXRUYRQrf-UXbXqvo,Lekpark,,2,4.5,http://www.lerum.se/,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4np5G43Y2IakLIZdzFq-nwdef-0bvXh_Tw9txBdhzwLFuYrjXdnSVRlBEF-JhvIfoepEVxn_g72leHE91jcyNhCBkJlM-pl6KDcm8ewd6cTL3isUKIsNBCXkNStcupUer8z7wXM3Ew=s1024,Lekplats,Open All Days,443 60 Lerum, Lerum,
ChIJN9y0SZ17f0YRgsCqNgswCMg,Lekpark,,6,4,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4npC8tchp1yL0bkXDP9LaLC40bxD5f3_18NZwa_y7VCqKhHjSAGrdeBCZWzjzlcCRcC-75By_DL3DQkfczuPTNUAwXR0kY8OecnJX_tPCi_BLzPlE08D-D4NTZCRMmo03D42rYI2Aw=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Smultronstigen,Lulea,
ChIJM5K0GQibX0YR4XdGLlcoNG0,Lekpark,,0,0,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nr1olo73q6PCIdMbUNarSIhXNwlxlpgoluHSK-5g0CJAv8cWZfoYK0o6kWekQPjFN7oRxHHofYBlRLSRLuSl-Gm2ysx4tATDU5XuOD7kYGRbr9RpFCuF8grI8EuEnL6TDua8cZwiw=s1024,Lekplats,Open All Days,Akerbyvagen 90,Taby,
ChIJs7Zvg4mNfkYR7zWr45aCX5g,Lekpark,,9,4,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nrK3bXGXoWWKs6oEDhzSilenRycEMrJUVudDWCXUSzHg6TdcDUMbs9Lg7_D7AHsN2hO0kpZmPVBwopjzbl6RM6sCXu5X1ul1IcrSqRKKR6tEPRh7YeiBhIIO5veqdRkW1xf26izLA=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Tallvagen 40,Skelleftehamn,
ChIJ16rk5Sl4X0YRsKspIyevtiI,Lekpark,,8,4.3,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nrN_mU560UUYNOCxuwzQ7Ezu7oqCs1eSsXaUqhNPaJ76pGmM6T_vJZSN06fEWXs9esILwMBj9zIAuBS8hg3kGQdoqH25gkBQUlZikNKRSBZyxKZmUm7GATTC1GwIEPFfZUUT2Br5Q=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Runovagen 14,Enskede,
ChIJqf5puE1bfEYR0uQzjL-ytVE,Lekpark,,9,3.4,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4noQfJGJXLRPKvtHhTlm35CrvS_nD5DKw-WH6pycKZ5sfjkvfLOk5_hTAoViA45GxlsAGShNDOBqwDa6acTKEeCfBCpr7WtjP0q5I2itZe8Jp3DhBWBYRwRn6c-auBdefI5qteEM=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Unnamed Road,Umea,
ChIJmUDBTR5bfEYRfGkcRY12aDE,Lekpark,,6,3.8,,076-072 20 32,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M4wyegnjMldBCJFwfmMIYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.678467&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Berghemsvagen,Umea,
ChIJtwHbpx1bfEYRGxAQ3touL6M,Lekpark,,1,2,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7xK_FcHjD9kDB2ZXm6W7Cg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.83017&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Berghemsvagen,Umea,
ChIJrfdlKMAXf0YROB_z0WgEDHg,Lekpark,,2,3.5,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AhUAW91zZjMusvWM3d4Qzw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.9903&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Kolgardsvagen 23-1,Pitea,
ChIJZ1HEGXN_9UYRzP82SxwKfiM,Lekpark,,3,4.3,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EWTJiPDQN1I12IAtaYlxFw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.084725&pitch=0&thumbfov=100,Lekplats,Open All Days,Stallvagen 1,Varmdo,
ChIJl-lkHAAzX0YRzoCLjoXs2fw,Lekpark,,0,0,https://www.instagram.com/elinsundqvisttt/,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T4yk0-5zAT7LyFD2ekIpng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.344538&pitch=0&thumbfov=100,Lekplats,Open All Days,Erikslundsvagen 5,Nykoping,
ChIJ8ayVPABjXkYRQrujSRXQ5Ck,Lekpark,,0,0,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DpFyWqCgpvqUvfPXK8GWpQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=331.30222&pitch=0&thumbfov=100,Lekplats,Open All Days,Alvdansvagen,Vasteras,
